270000,1
282000,1
286000,2
290000,1
294000,5
299000,6
303000,15
307000,3
311000,13
315000,7
319000,27
323000,13
327000,72
331000,19
335000,63
339000,49
344000,116
348000,62
352000,159
356000,87
360000,231
364000,123
368000,311
372000,162
376000,406
380000,221
385000,495
389000,265
393000,526
397000,283
401000,519
405000,102
409000,369
417000,425
425000,435
434000,425
442000,441
450000,464
458000,401
466000,425
475000,383
483000,290
491000,303
499000,241
507000,201
516000,204
524000,131
532000,130
540000,85
548000,70
557000,56
565000,44
573000,29
581000,22
589000,16
598000,15
606000,13
614000,7
622000,3
630000,3
647000,1
655000,1
663000,1
679000,1
