378000,1
380000,2
381000,3
382000,1
383000,2
384000,8
385000,4
386000,3
387000,5
388000,10
389000,10
390000,7
391000,13
392000,17
393000,22
394000,26
395000,20
396000,44
397000,30
398000,31
399000,49
400000,42
401000,55
402000,57
403000,64
404000,87
405000,39
406000,83
407000,114
408000,130
409000,140
410000,159
411000,146
412000,174
413000,164
414000,197
415000,214
416000,234
417000,240
418000,239
419000,245
420000,224
421000,251
422000,273
423000,262
424000,264
425000,254
426000,152
427000,254
428000,274
429000,293
430000,285
431000,282
432000,249
433000,259
434000,240
435000,254
436000,218
437000,214
438000,189
439000,195
440000,190
441000,190
442000,175
443000,177
444000,119
445000,117
446000,97
447000,47
448000,105
449000,83
450000,72
451000,63
452000,76
453000,61
454000,49
455000,44
456000,45
457000,41
458000,32
459000,38
460000,30
461000,26
462000,17
463000,15
464000,7
465000,9
466000,8
467000,10
468000,9
470000,8
471000,9
472000,4
473000,3
474000,1
475000,2
476000,2
478000,1
479000,1
